"","fit","se.fit","Year","Seascapenr","Ship","uprP","lwrP","uprS","lwrS","ci_width"
"1",-4.02985065186575,0.217219378114272,1977,1,"WAH3",-3.59541189563721,-4.4642894080943,-3.27337316068003,-4.78632814305147,1.51295498237144
"2",-3.99999116579636,0.202246776495696,1977.336,1,"WAH3",-3.59549761280497,-4.40448471878775,-3.29565651843641,-4.70432581315631,1.4086692947199
"3",-3.97012827035764,0.188145927594775,1977.672,1,"WAH3",-3.59383641516809,-4.34642012554719,-3.31490054381093,-4.62535599690436,1.31045545309343
"4",-3.94025855616311,0.175134707752624,1978.008,1,"WAH3",-3.58998914065786,-4.29052797166836,-3.33034306201897,-4.55017405030725,1.21983098828828
"5",-3.91037725111498,0.163418219519058,1978.344,1,"WAH3",-3.58354081207687,-4.2372136901531,-3.3412650209401,-4.47948948128986,1.13822446034976
"6",-3.88047450779886,0.153174791950806,1978.68,1,"WAH3",-3.57412492389725,-4.18682409170048,-3.34703553318361,-4.41391348241412,1.06687794923051
"7",-3.85053929737413,0.144514497206887,1979.016,1,"WAH3",-3.56151030296036,-4.13956829178791,-3.34726023803754,-4.35381835671073,1.0065581186732
"8",-3.82055958625789,0.137452246112049,1979.352,1,"WAH3",-3.54565509403379,-4.09546407848199,-3.34187517421623,-4.29924399829955,0.957368824083317
"9",-3.79051985570288,0.131901655028166,1979.688,1,"WAH3",-3.52671654564655,-4.05432316575921,-3.33116565836943,-4.24987405303632,0.918708394666886
"10",-3.76040383188719,0.127679546285755,1980.024,1,"WAH3",-3.50504473931568,-4.0157629244587,-3.31575334219116,-4.20505432158322,0.889300979392063
"11",-3.73019553317953,0.12452963972738,1980.36,1,"WAH3",-3.48113625372477,-3.97925481263429,-3.29651475268456,-4.1638763136745,0.867361560989941
"12",-3.699879922303,0.122176034651832,1980.696,1,"WAH3",-3.45552785299933,-3.94423199160666,-3.27439569074509,-4.1253641538609,0.850968463115814
"13",-3.66944215381104,0.120348864435375,1981.032,1,"WAH3",-3.42874442494029,-3.91013988268179,-3.250321135118,-4.08856317250408,0.838242037386081
"14",-3.63886950484434,0.118814041069578,1981.368,1,"WAH3",-3.40124142270519,-3.8764975869835,-3.22509358629499,-4.0526454233937,0.827551837098702
"15",-3.60815564811671,0.117411962085745,1981.704,1,"WAH3",-3.37333172394522,-3.8429795722882,-3.19926254067446,-4.01704875555895,0.817786214884493
"16",-3.57729546086936,0.116038460335639,1982.04,1,"WAH3",-3.34521854019808,-3.80937238154063,-3.1731856428697,-3.98140527886902,0.808219635999317
"17",-3.54628777883933,0.114642553957145,1982.376,1,"WAH3",-3.31700267092504,-3.77557288675361,-3.1470392755359,-3.94553628214275,0.798497006606853
